Year,Month,Day,"Patuxent Reservoir Inflow, MGD",BOP Storage,EOP Storage,Release,Spill,,
1929,10,1,42,9100,9097.25,44.75,0,,
1929,10,2,410,9097.25,9462.5,44.75,0,,
1929,10,3,281,9462.5,9698.75,44.75,0,,
1929,10,4,64,9698.75,9718,44.75,0,,
1929,10,5,51,9718,9724.25,44.75,0,,
1929,10,6,43,9724.25,9722.5,44.75,0,,
1929,10,7,39,9722.5,9716.75,44.75,0,,
1929,10,8,37,9716.75,9709,44.75,0,,
1929,10,9,34,9709,9698.25,44.75,0,,
1929,10,10,33,9698.25,9686.5,44.75,0,,
1929,10,11,32,9686.5,9673.75,44.75,0,,
1929,10,12,32,9673.75,9661,44.75,0,,
1929,10,13,32,9661,9648.25,44.75,0,,
1929,10,14,31,9648.25,9634.5,44.75,0,,
1929,10,15,32,9634.5,9621.75,44.75,0,,
1929,10,16,31,9621.75,9608,44.75,0,,
1929,10,17,31,9608,9594.25,44.75,0,,
1929,10,18,29,9594.25,9578.5,44.75,0,,
1929,10,19,29,9578.5,9562.75,44.75,0,,
1929,10,20,30,9562.75,9548,44.75,0,,
1929,10,21,30,9548,9533.25,44.75,0,,
1929,10,22,224,9533.25,9712.5,44.75,0,,
1929,10,23,300,9712.5,9967.75,44.75,0,,
1929,10,24,79,9967.75,10002,44.75,0,,
1929,10,25,58,10002,10015.25,44.75,0,,
1929,10,26,51,10015.25,10021.5,44.75,0,,
1929,10,27,47,10021.5,10023.75,44.75,0,,
1929,10,28,43,10023.75,10022,44.75,0,,
1929,10,29,42,10022,10019.25,44.75,0,,
1929,10,30,43,10019.25,10017.5,44.75,0,,
1929,10,31,56,10017.5,10028.75,44.75,0,,
1929,11,1,54,10028.75,10038,44.75,0,,
1929,11,2,48,10038,10041.25,44.75,0,,
1929,11,3,119,10041.25,10100,44.75,15.5,,
1929,11,4,193,10100,10100,44.75,148.25,,
1929,11,5,90,10100,10100,44.75,45.25,,
1929,11,6,69,10100,10100,44.75,24.25,,
1929,11,7,62,10100,10100,44.75,17.25,,
1929,11,8,58,10100,10100,44.75,13.25,,
1929,11,9,55,10100,10100,44.75,10.25,,
1929,11,10,51,10100,10100,44.75,6.25,,
1929,11,11,50,10100,10100,44.75,5.25,,
1929,11,12,50,10100,10100,44.75,5.25,,
1929,11,13,48,10100,10100,44.75,3.25,,
1929,11,14,51,10100,10100,44.75,6.25,,
1929,11,15,56,10100,10100,44.75,11.25,,
1929,11,16,55,10100,10100,44.75,10.25,,
1929,11,17,51,10100,10100,44.75,6.25,,
1929,11,18,118,10100,10100,44.75,73.25,,
1929,11,19,109,10100,10100,44.75,64.25,,
1929,11,20,68,10100,10100,44.75,23.25,,
1929,11,21,60,10100,10100,44.75,15.25,,
1929,11,22,55,10100,10100,44.75,10.25,,
1929,11,23,54,10100,10100,44.75,9.25,,
1929,11,24,54,10100,10100,44.75,9.25,,
1929,11,25,54,10100,10100,44.75,9.25,,
1929,11,26,51,10100,10100,44.75,6.25,,
1929,11,27,51,10100,10100,44.75,6.25,,
1929,11,28,50,10100,10100,44.75,5.25,,
1929,11,29,47,10100,10100,44.75,2.25,,
1929,11,30,36,10100,10091.25,44.75,0,,
1929,12,1,37,10091.25,10083.5,44.75,0,,
1929,12,2,37,10083.5,10075.75,44.75,0,,
1929,12,3,37,10075.75,10068,44.75,0,,
1929,12,4,37,10068,10060.25,44.75,0,,
1929,12,5,44,10060.25,10059.5,44.75,0,,
1929,12,6,50,10059.5,10064.75,44.75,0,,
1929,12,7,55,10064.75,10075,44.75,0,,
1929,12,8,54,10075,10084.25,44.75,0,,
1929,12,9,51,10084.25,10090.5,44.75,0,,
1929,12,10,47,10090.5,10092.75,44.75,0,,
1929,12,11,47,10092.75,10095,44.75,0,,
1929,12,12,46,10095,10096.25,44.75,0,,
1929,12,13,50,10096.25,10100,44.75,1.5,,
1929,12,14,69,10100,10100,44.75,24.25,,
1929,12,15,60,10100,10100,44.75,15.25,,
1929,12,16,53,10100,10100,44.75,8.25,,
1929,12,17,50,10100,10100,44.75,5.25,,
1929,12,18,51,10100,10100,44.75,6.25,,
1929,12,19,62,10100,10100,44.75,17.25,,
1929,12,20,62,10100,10100,44.75,17.25,,
1929,12,21,48,10100,10100,44.75,3.25,,
1929,12,22,44,10100,10099.25,44.75,0,,
1929,12,23,44,10099.25,10098.5,44.75,0,,
1929,12,24,44,10098.5,10097.75,44.75,0,,
1929,12,25,44,10097.75,10097,44.75,0,,
1929,12,26,44,10097,10096.25,44.75,0,,
1929,12,27,44,10096.25,10095.5,44.75,0,,
1929,12,28,55,10095.5,10100,44.75,5.75,,
1929,12,29,97,10100,10100,44.75,52.25,,
1929,12,30,81,10100,10100,44.75,36.25,,
1929,12,31,75,10100,10100,44.75,30.25,,
1930,1,1,74,10100,10100,44.75,29.25,,
1930,1,2,71,10100,10100,44.75,26.25,,
1930,1,3,68,10100,10100,44.75,23.25,,
1930,1,4,62,10100,10100,44.75,17.25,,
1930,1,5,55,10100,10100,44.75,10.25,,
1930,1,6,53,10100,10100,44.75,8.25,,
1930,1,7,54,10100,10100,44.75,9.25,,
1930,1,8,54,10100,10100,44.75,9.25,,
1930,1,9,53,10100,10100,44.75,8.25,,
1930,1,10,52,10100,10100,44.75,7.25,,
1930,1,11,48,10100,10100,44.75,3.25,,
1930,1,12,46,10100,10100,44.75,1.25,,
1930,1,13,48,10100,10100,44.75,3.25,,
1930,1,14,56,10100,10100,44.75,11.25,,
1930,1,15,80,10100,10100,44.75,35.25,,
1930,1,16,64,10100,10100,44.75,19.25,,
1930,1,17,55,10100,10100,44.75,10.25,,
1930,1,18,40,10100,10095.25,44.75,0,,
1930,1,19,40,10095.25,10090.5,44.75,0,,
1930,1,20,40,10090.5,10085.75,44.75,0,,
1930,1,21,40,10085.75,10081,44.75,0,,
1930,1,22,40,10081,10076.25,44.75,0,,
1930,1,23,40,10076.25,10071.5,44.75,0,,
1930,1,24,40,10071.5,10066.75,44.75,0,,
1930,1,25,40,10066.75,10062,44.75,0,,
1930,1,26,40,10062,10057.25,44.75,0,,
1930,1,27,40,10057.25,10052.5,44.75,0,,
1930,1,28,40,10052.5,10047.75,44.75,0,,
1930,1,29,40,10047.75,10043,44.75,0,,
1930,1,30,40,10043,10038.25,44.75,0,,
1930,1,31,40,10038.25,10033.5,44.75,0,,
1930,2,1,47,10033.5,10035.75,44.75,0,,3007
1930,2,2,47,10035.75,10038,44.75,0,,
1930,2,3,47,10038,10040.25,44.75,0,,
1930,2,4,117,10040.25,10100,44.75,12.5,,
1930,2,5,373,10100,10100,44.75,328.25,,
1930,2,6,181,10100,10100,44.75,136.25,,
1930,2,7,108,10100,10100,44.75,63.25,,
1930,2,8,94,10100,10100,44.75,49.25,,
1930,2,9,84,10100,10100,44.75,39.25,,
1930,2,10,90,10100,10100,44.75,45.25,,
1930,2,11,91,10100,10100,44.75,46.25,,
1930,2,12,77,10100,10100,44.75,32.25,,
1930,2,13,165,10100,10100,44.75,120.25,,
1930,2,14,249,10100,10100,44.75,204.25,,
1930,2,15,137,10100,10100,44.75,92.25,,
1930,2,16,103,10100,10100,44.75,58.25,,
1930,2,17,99,10100,10100,44.75,54.25,,
1930,2,18,102,10100,10100,44.75,57.25,,
1930,2,19,99,10100,10100,44.75,54.25,,
1930,2,20,91,10100,10100,44.75,46.25,,
1930,2,21,83,10100,10100,44.75,38.25,,
1930,2,22,78,10100,10100,44.75,33.25,,
1930,2,23,75,10100,10100,44.75,30.25,,
1930,2,24,74,10100,10100,44.75,29.25,,
1930,2,25,73,10100,10100,44.75,28.25,,
1930,2,26,73,10100,10100,44.75,28.25,,
1930,2,27,81,10100,10100,44.75,36.25,,
1930,2,28,69,10100,10100,44.75,24.25,,
1930,3,1,66,10100,10100,44.75,21.25,,
1930,3,2,66,10100,10100,44.75,21.25,,
1930,3,3,60,10100,10100,44.75,15.25,,
1930,3,4,58,10100,10100,44.75,13.25,,
1930,3,5,58,10100,10100,44.75,13.25,,
1930,3,6,60,10100,10100,44.75,15.25,,
1930,3,7,98,10100,10100,44.75,53.25,,
1930,3,8,599,10100,10100,44.75,554.25,,
1930,3,9,172,10100,10100,44.75,127.25,,
1930,3,10,118,10100,10100,44.75,73.25,,
1930,3,11,112,10100,10100,44.75,67.25,,
1930,3,12,133,10100,10100,44.75,88.25,,
1930,3,13,100,10100,10100,44.75,55.25,,
1930,3,14,89,10100,10100,44.75,44.25,,
1930,3,15,80,10100,10100,44.75,35.25,,
1930,3,16,78,10100,10100,44.75,33.25,,
1930,3,17,77,10100,10100,44.75,32.25,,
1930,3,18,75,10100,10100,44.75,30.25,,
1930,3,19,85,10100,10100,44.75,40.25,,
1930,3,20,74,10100,10100,44.75,29.25,,
1930,3,21,69,10100,10100,44.75,24.25,,
1930,3,22,64,10100,10100,44.75,19.25,,
1930,3,23,64,10100,10100,44.75,19.25,,
1930,3,24,62,10100,10100,44.75,17.25,,
1930,3,25,79,10100,10100,44.75,34.25,,
1930,3,26,96,10100,10100,44.75,51.25,,
